20260310T,0,1000,0,282.6,0
20260311T,0,1000,0,282.6,0
20260312T,0,1000,0,282.6,0
20260313T,0,1000,0,282.6,0
20260314T,0,1000,0,282.6,0
20260315T,0,1000,0,145.49,0
20260316T,0,1000,0,145.49,0
20260317T,0,1000,0,145.49,0
20260318T,0,1000,0,145.49,0
20260319T,0,1000,0,145.49,0
20260320T,0,1000,0,107.93,0
20260321T,0,1000,0,107.93,0
20260322T,0,1000,0,107.93,0
20260323T,0,1000,0,107.93,0
20260324T,0,1000,0,107.93,0
20260325T,0,1000,0,94.68,0
20260326T,0,1000,0,94.68,0
20260327T,0,1000,0,94.68,0
20260328T,0,1000,0,94.68,0
20260329T,0,1000,0,94.68,0
20260330T,0,1000,0,80.79,0
20260331T,0,1000,0,80.79,0
20260401T,0,1000,0,80.79,0
20260402T,0,1000,0,80.79,0
20260403T,0,1000,0,80.79,0
20260404T,0,1000,0,49.03,0
20260405T,0,1000,0,49.03,0
20260406T,0,1000,0,49.03,0
20260407T,0,1000,0,49.03,0
20260408T,0,1000,0,49.03,0
20260409T,0,1000,0,18.01,0
20260410T,0,1000,0,18.01,0
20260411T,0,1000,0,18.01,0
20260412T,0,1000,0,18.01,0
20260413T,0,1000,0,18.01,0
